fid,pleiades_id,continent,it_region,n1,n2,n3,verified,notes,lon,lat
"515",,Africa,,Africa Proconsularis,Thugga,House Omnia tibi felicia,verified,,9.2188665,36.422473
"516",,Africa,,Africa Proconsularis,Thugga,House of Trifolium,verified,,9.2188665,36.422473
"517",,Africa,,Africa Proconsularis,Thugga,Theater,verified,,9.2188665,36.422473
"518","324835",Africa,,Africa Proconsularis,Thysdrus,House of Africa,,,10.707584,35.2960575
"519","324835",Africa,,Africa Proconsularis,Thysdrus,House of peacock,verified,,10.707584,35.2960575
"520","324835",Africa,,Africa Proconsularis,Thysdrus,Sollertianna Domus,verified,,10.707584,35.2960575
"521","324835",Africa,,Africa Proconsularis,Thysdrus,House of white mosaics,verified,,10.707584,35.2960575
"522","324835",Africa,,Africa Proconsularis,Thysdrus,House of Lucius Verus,,,10.707584,35.2960575
"523","324835",Africa,,Africa Proconsularis,Thysdrus,House of Dolphins,verified,,10.707584,35.2960575
"524",,Africa,,Mauretania Tingitana,Tipasa,Villa of the Frescoes,verified,,2.44159341,36.59421968
"525","344519",Africa,,Mauretania Tingitana,Tipasa,Villa of the Frescoes,verified,,10.747979,33.726022
"526","305169",Africa,,Mauretania Tingitana,Tipasa,Villa of the Frescoes,verified,,7.75,36.25
"527",,Europe,,Achaia,Titane,Shrine of the Fates,verified,,22.623851,37.919512
"528","246694",Europe,,Gallia Narbonensis,Tolosa,Domus under Hotel D'Assezat,verified,,1.4418751,43.60035395
"529",,Italy,Region X,Altinum,"Tomb garden, l. Patroclus",,rough,,12.3994,45.5462
"530",,Italy,Region X,Patavium,Tomb garden of A. Coelius C.,,locality,,11.8698,45.4071
"531",,Italy,Region VII,Capena,Tomb garden of L. Chaerusa,,rough,,12.5402,42.1424
"532",,Italy,Region IX,Vardagate,Tomb garden of V. Hermes,,locality,,8.4406,45.0818
"533",,Italy,Region I,Latium,Tomb Gardens near Rome,,rough,,12.5033855438232,41.9093037286688
"534",,Europe,,Gallia Narbonensis,Touvres,Villa de Muscapeau,,,0,0
"535",,Italy,Region IV,Arcinazzo Romano,Trajan's Villa,,rough,,13.1589,41.8548
"536",,Asia,,Syria,Tyre,Tomb Garden,,,0,0
"537",,Asia,,Syria,Tyros,Iraq-el Amir,,,35.2038435,33.2698475
"538",,Asia,,Syria,Tyros,Iraq-el Amir,,,41.97266,34.462015
"539","570759",Asia,,Syria,Tyros,Iraq-el Amir,,,39.92431640625,34.4884478378093
"540","315247",Africa,,Africa Proconsularis,Uthina,House of Icarios,verified,,10.172291,36.607458
"541","315248",Africa,,Africa Proconsularis,Utica,House H,verified,,10.061305,37.055611
"542","315248",Africa,,Africa Proconsularis,Utica,House of the figured basins,verified,,10.061305,37.055611
"543","315248",Africa,,Africa Proconsularis,Utica,House of the Treasure,verified,,10.061305,37.055611
"544","315248",Africa,,Africa Proconsularis,Utica,House of the Cascade,verified,,10.061305,37.055611
"545","315248",Africa,,Africa Proconsularis,Utica,"Insula II, lot 4",verified,,10.061305,37.055611
"546","315248",Africa,,Africa Proconsularis,Utica,House of grand oecus,verified,,10.061305,37.055611
"547",,Africa,,Africa Proconsularis,Uzitta,???,,,0,0
"548",,Europe,,Gallia Aquitania,Valentine,Villa of Arnesp,verified,,0.68908,43.096051
"549",,Europe,,Gallia Narbonensis,Vasio Voncontorium,House of the peacock,,,0,0
"550",,Europe,,Gallia Narbonensis,Vasio Voncontorium,House of Laurel-wreathed Apollo,,,0,0
"551",,Europe,,Gallia Narbonensis,Vasio Voncontorium,House with Arbor,,,0,0
"552",,Europe,,Gallia Narbonensis,Vasio Voncontorium,House of Dolphin,,,0,0
"553",,Europe,,Gallia Narbonensis,Vasio Voncontorium,House of Silver Bust,,,0,0
"554",,Italy,Region I,Campania,Velia,,verified,,15.15546799,40.16109947
"555",,Italy,Region IV,Villas near Tivoli,Ventidius Bassus' Villa,,,,0,0
"556","177657",Europe,,Germania Superior,Vesontio,House in Rue du Palais de Justice,,,6.027924,47.2372405
"557","177657",Europe,,Germania Superior,Vesontio,Structures under college Lumiere,,,6.027924,47.2372405
"558","138650",Europe,,Gallia Aquitania,Vesunna,Domus Campniac,,,0.71798085,45.18386505
"559","138650",Europe,,Gallia Aquitania,Vesunna,House of Vesunna,,,0.71798085,45.18386505
"560","138650",Europe,,Gallia Aquitania,Vesunna,"House of ""Visitation""",approximate,,0.71798085,45.18386505
"561",,Europe,,Germania Inferior,Vetera Casta,Legionary Houses,,,0,0
"562",,Europe,,Gallia Narbonensis,Vienna,House of the head of Ivory,,,0,0
"563",,Europe,,Gallia Narbonensis,Vienna,House in Rue des Colonnes,,,0,0
"564",,Europe,,Gallia Narbonensis,Vienna,House of Orpheus,,,0,0
"565",,Europe,,Gallia Narbonensis,Vienna,House of Bacchus and Ariadne,,,0,0
"566",,Europe,,Gallia Narbonensis,Vienna,House of the Nympheas,,,0,0
"567",,Europe,,Gallia Narbonensis,Vienna,"Nympheas, House of the Atrium",,,0,0
"568",,Europe,,Gallia Belgica,Vierherrenborn,Rural Villa,,,0,0
"569",,Europe,,Lusitania,Vila de Frades,Villa Sao Cucufate,wrong,,0,0
"570",,Italy,Region VIII,Desenzano,Villa,,,,0,0
"571",,Italy,Region VIII,Toscolano Maderno,Villa,,rough,,10.6128,45.6379
"572",,Italy,Region IX,La Spezia,Villa at Luna,,rough,,9.8214,44.1159
"573",,Italy,Region VII,Orbetello,Villa at Settefinestre,,verified,,11.3267,42.4305
"574",,Italy,Region VII,Bracciano,Villa dell'Acqua Claudia,,verified,,12.3008143901825,42.0669408529913
"575",,Italy,Region VII,Elba,Villa delle Grotte,,verified,,10.33076406,42.80048618
"576",,Italy,Region IV,Villas near Tivoli,Villa of Horace,,verified,,12.9011,42.0661
"577",,Italy,Region IV,Villas near Tivoli,Villa of Pianelle dei Signori Reali,,,,0,0
"578",,Italy,Region IV,Villas near Tivoli,Villa of St. Stefano near Montecelio,,rough,,12.7257,41.9921
"579",,Italy,Region X,Tegeste,Villa of the Bath,,rough,,13.7377166748047,45.6975474261076
"580",,Italy,Region X,Tegeste,Villa of the Statue,,locality,,13.725,45.7015
"581",,Italy,Region IV,Villas near Tivoli,Villa of Vibii Vari,,,,0,0
"582",,Europe,,Gallia Lugdunensis,Vindinum,House on Place des Halles,,,0,0
"583",,Europe,,Germania Inferior,Voerendaal,Rural Villa,,,0,0
"584","275740",Africa,,Mauretania Tingitana,Volubilis,Gordinian Palace,verified,,-5.5548,34.0725
"585","275740",Africa,,Mauretania Tingitana,Volubilis,House of Ephebe,verified,,-5.5548,34.0725
"586","275740",Africa,,Mauretania Tingitana,Volubilis,House of Columns,verified,,-5.5548,34.0725
"587","275740",Africa,,Mauretania Tingitana,Volubilis,House of Labors of Hercules,verified,,-5.5548,34.0725
"588","275740",Africa,,Mauretania Tingitana,Volubilis,House of Flavius Germanus,verified,,-5.5548,34.0725
"589","275740",Africa,,Mauretania Tingitana,Volubilis,House of the Venus Mosaic,verified,,-5.5548,34.0725
"590",,Europe,,Gallia Belgica,Welschbillig,Rural Villa,,,0,0
"591",,Europe,,Germania Superior,Wiesbaden-Biebrich,Rural Villa,,,0,0
"592",,Europe,,Pannonia,Winden am see,Rural Villa,,,0,0
"593",,Europe,,Germania Superior,Winkel-Seeb,Rural Villa,,,0,0
"594",,Africa,,Aegyptus,Kanopos,Alexandria,,,31.31294,30.071657
"595",,Italy,,Roma,Gardens of Seneca,,rough,,12.50498,41.8865
"596",,Italy,,Roma,Gardens of Septimius Severus,,rough,,12.463415,41.893133
"597",,Italy,,Roma,Gardens Near Spes Vetus,,rough,,12.516907,41.888622
"598",,Italy,,Roma,Gardens of Nero,,rough,,12.461381,41.900013
"599",,Italy,,Roma,Gardens of Maius,,rough,,12.496374,41.894514
"600",,Italy,,Roma,Gardens of Pallas = Gardens of Licinius,,rough,,12.511151,41.894534
"601",,Italy,,Roma,Gardens of (P. Cornelius)Scipio,,rough,,12.487518,41.896285
"602",,Italy,,Roma,Gardens of (M. Statilius) Taurus,,rough,,12.508398,41.894895
"603",,Italy,,Roma,Gardens of (D. Iunius) Torquatus,,rough,,12.514513,41.891877
"604",,Italy,,Roma,Gardens of Valerius Messalla Corvinus,,rough,,12.484059,41.905492
"605",,Italy,,Roma,Gardens of Volusius Saturninus via Salaria,,rough,,12.485747,41.911732
"606",,Italy,,Roma,Gardens of Frontinus,,rough,,12.501486,41.894375
"607",,Italy,,Roma,Gardens of (Acilius) Glabrio,,rough,,12.481368,41.90873
"608",,Italy,,Roma,Gardens of (L. Aelius) Lamia,,rough,,12.501002,41.894529
"609",,Italy,,Roma,Gardens of (T. Quinctius) Scapula,,rough,,12.45593,41.930438
"610",,Italy,,Roma,Gardens of Asinius Pollio,,rough,,12.492477,41.882675
"611",,Italy,,Roma,Gardens of Callicles,,rough,,12.503921,41.896465
"612",,Italy,,Roma,Gardens of Domitia Lucilla(Calvilla),,rough,,12.50637,41.88734
"613",,Italy,,Roma,Gardens of Drusus Caesar,,rough,"same location as H. Asinius Pollio, porta capena",12.48913,41.884847
"614",,Italy,,Roma,Horti Caesaris,,rough,,12.463337,41.882291
"615",,Italy,,Roma,Garden of Agrippa (Kim),,rough,,12.469232,41.898426
"616",,Italy,,Roma,Gardens of Apronius,,rough,,12.473355,41.889352
"617",,Italy,,Roma,Gardens of Aquilius Regulus,,rough,,12.464185,41.909782
"618",,Italy,,Roma,Horti Maecenatis,,rough,,12.500967,41.89494
"619",,Italy,,Roma,Horti Domitiae,,rough,,12.466055,41.905836
"620",,Italy,,Roma,Horti Agrippinae,,rough,,12.460197,41.900398
"621",,Italy,,Roma,Horti Getae,,rough,,12.460985,41.8929
"622",,Italy,,Roma,Horti Liciniani,,rough,,12.511511,41.893354
"623",,Italy,,Roma,Sessorium,,rough,,12.5158,41.889852
"624",,Italy,,Roma,Horti Torquatiani,,rough,,12.508328,41.89148
"625",,Italy,,Roma,Horti Lamiani,,rough,,12.506668,41.892345
"626",,Italy,,Roma,Horti Lolliani,,rough,,12.500303,41.901285
"627",,Italy,,Roma,Horti Tauriani et Calyclani,,rough,,12.503818,41.89803
"628",,Italy,,Roma,Horti Pallantiani,,rough,,12.505229,41.896815
"629",,Italy,,Roma,Horti Epaphroditiani,,rough,,12.507553,41.895085
"630",,Italy,,Roma,Horti Domitiorum,,rough,,12.478317,41.909595
"631",,Italy,,Roma,Horti Aciliorum,,rough,,12.477833,41.91187
"632",,Italy,,Roma,Horti Luculli,,rough,,12.483976,41.906228
"633",,Italy,,Roma,Horti Sallustiani,,rough,,12.490092,41.907103
"634",,Italy,,Roma,Domus Aurea,,approximate,northern extent of DA-extends down to Circus Maximus,12.495403,41.891244
"635",,Italy,,Roma,Templum Pacis,,rough,,12.487263,41.892832
"636",,Italy,,Roma,three houses,,,,12.4954713333333,41.8961732787136
"637",,Italy,,Roma,Atrium Vestae Garden,,site,,12.4866223845124,41.8913829685923
"638",,Italy,,Roma,D C,,,,12.4931951076565,41.8876061927969
"639",,Italy,,Roma,Mausoleum of Augustus,,,,12.476235624953,41.9050342277108
"640",,Italy,,Roma,divorum,,approximate,,12.4797829137998,41.8985571688677
