the_geom,cartodb_id,fid,id,name,accuracy,notes,who
0106000020E61000000100000001030000000100000005000000F9F884ECBCF52840765089EB18F344400F27309DD6F52840D89DEE3CF1F24440E84D452A8CF528400856D5CBEFF24440C992399677F528400C022B8716F34440F9F884ECBCF52840765089EB18F34440,1,1,,divorum,approx,,yimeng
0106000020E61000000100000001030000000100000005000000AE11C138B8FC28409A417C60C7F14440BB9A3C6535FD2840A18499B67FF1444078978BF84EFC28406C26DF6C73F14440B2BAD573D2FB284054AC1A84B9F14440AE11C138B8FC28409A417C60C7F14440,2,2,,D C,,,zejun li
0106000020E6100000010000000103000000010000000C000000581EA4A7C8F92840252026E142F244404A7D59DAA9F92840B8B06EBC3BF244406C3D433866F928400E2C47C840F244406D382C0DFCF82840984C158C4AF24440D313967840F92840CF12640454F244406F2A52616CF9284089EB18575CF244404A7D59DAA9F9284096EA025E66F24440E0D6DD3CD5F92840060DFD135CF244400589EDEE01FA284088669E5C53F244404147AB5AD2F92840F5B86FB54EF244402D060FD3BEF9284025ECDB4944F24440581EA4A7C8F92840252026E142F24440,3,3,,Templum Pacis,rough,,sage magee
0106000020E61000000100000001030000000100000005000000C07B478D09F9284042EE224C51F244400E68E90AB6F92840D671FC5069F24440B8B06EBC3BFA28404069A85148F24440CD21A98592F928403B72A43330F24440C07B478D09F9284042EE224C51F24440,4,4,,templum Pacis,rough,,carole
0106000020E610000001000000010300000001000000050000002A711DE38AF328401D0247020DF444401557957D57F4284072F8A41309F444407670B03731F42840F9DB9E20B1F34440520B259353F3284099654F029BF344402A711DE38AF328401D0247020DF44440,5,5,,Mausoleum of Augustus,,,yuting
0106000020E61000000100000001030000000100000005000000085BECF659FD284080290307B4F2444043588D25ACFD284023F77475C7F24440C8EE022505FE2840AF795567B5F2444043588D25ACFD2840A08D5C37A5F24440085BECF659FD284080290307B4F24440,6,6,,three houses,,,tianjun
0106000020E61000000100000001030000000100000005000000C51B9947FEF828406D75392520F24440D63A71395EF92840D0B52FA017F24440F59ECA694FF928403E3C4B9011F2444020B24813EFF82840990CC7F319F24440C51B9947FEF828406D75392520F24440,7,7,,Atrium Vestae Garden,exact,,jie li
