the_geom,cartodb_id,continent,n1,n2,n3,region,pleiadeslocationprecision,maxdate,mindate,timeperiodskeys,pleiadestitle,verified,type,notes,g_verified,url
0101000020E6100000B96E4A79AD0C3340E0BE0E9C33C84740,1939,Europe,Pannonia,Aquincum,Urban House,,precise,640,-30,"roman,late-antique",Aquincum,,,,,
0101000020E61000007DAEB6627F4121408DD5E6FF55154840,1984,Europe,Germania Superior,Arae Flaviae,Large building,,precise,300,-30,roman,Arae Flaviae,,,,,
,2027,Europe,Gallia Narbonensis,Arausio,House with polychrome mosaic,,,,,,,,,,,
,2028,Europe,Gallia Narbonensis,Arausio,House on Cours Portoules,,,,,,,,,,,
,2029,Europe,Gallia Narbonensis,Arausio,Sururban villa de la Brunette,,,,,,,,,,,
,2030,Europe,Gallia Narbonensis,Arausio,House of Mosaic with Menander,,,,,,,,,,,
,2031,Europe,Gallia Narbonensis,Arausio,House of Clodius,,,,,,,,,,,
0101000020E61000003A02B859BC082540789B374E0A034240,7921,Africa,Africa Proconsularis,Horea Caelia,House of the Two Peristyles,,,,,,,verified,,,,
,2115,Europe,Gallia Narbonensis,Arelate,Trinquetaille House 1,,,,,,,,,,,
,2116,Europe,Gallia Narbonensis,Arelate,House under Credit Agricole,,,,,,,,,,,
,2350,Africa,Aegyptus,Arsinoite Nome,Fayum,,,,,,,,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1693,Asia,Asia,Aphrodisias,?,,precise,300,-550,"classical,hellenistic-republican,roman",Aphrodisias,verified,,,,
,2664,Europe,Achaia,Athens,Omega House,,,,,,,,,,,
,2665,Europe,Achaia,Athens,Gardens of Epicurus,,,,,,,,,,,
,2776,Europe,Germania Superior,Augusta Raurica,House in insula 1 and 2,,,,,,,,,,,
,2777,Europe,Germania Superior,Augusta Raurica,"House, insula 30",,,,,,,,,,,
0101000020E6100000DC0F786000B93740CD069964E4FC4240,2661,Europe,Achaia,Athens,Altar of 12 Gods,,rough,,,,,verified,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1692,Asia,Asia,Aphrodisias,?,,precise,640,-330,"hellenistic-republican,roman,late-antique",Aphrodisias,verified,,,,
0101000020E6100000D89DEE3CF1B8374033A9A10DC0FC4240,2667,Europe,Achaia,Athens,Palace of Giants,,rough,,,,,verified,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1694,Asia,Asia,Aphrodisias,?,,precise,640,-330,"hellenistic-republican,roman,late-antique",Aphrodisias,verified,,,,
0101000020E6100000E882FA9639B93C4041446ADAC5DA4240,1695,Asia,Asia,Aphrodisias,?,,precise,640,-330,"hellenistic-republican,roman,late-antique",Aphrodisias,verified,,,,
,2769,Europe,Lusitania,Augusta Emerita,House of hill garden,,,,,,,unknown,,,,
0101000020E61000007CA070D124754340A822707F895B19C0,2768,Europe,Lusitania,Augusta Emerita,House of Theater,,,,,,,close,,,,
0101000020E6100000E5DF1DCF1D75434005D8ECED3B6319C0,2767,Europe,Lusitania,Augusta Emerita,House in Alcazaba,,,,,,,close,,,,
0101000020E61000003E7958A8357543409F98501C9B6019C0,2773,Europe,Lusitania,Augusta Emerita,Temple of Diana,,,,,,,close,,,,
0101000020E61000001B33E43334754340DFE819B1055B19C0,2771,Europe,Lusitania,Augusta Emerita,Peristyle of Theater,,,,,,,close,,,,
0101000020E6100000AA8251499DA02940107A36AB3EF74440,4372,Italy,Villas near Tivoli,Cassius' Villa,,Region IV,,,,,,locality,,,,
0101000020E61000004EADE7395C1617C001AA132BFE614240,2092,Europe,Hispania Baetica,Arcos de la Frontera,Villa el Santiscal,,,,,,very close,locality,,,Verified,
0101000020E61000002A68A4EF7F21F43F95F239FBF3E94640,2802,Europe,Gallia Aquitania,Augustoritum,House in rue de Vigne de fer,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Verified,
0101000020E6100000B588AC5E133CF43F7378EF4507EA4640,2794,Europe,Gallia Aquitania,Augustoritum,Opus Sectile and House of Opus Quadratum,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E6100000DEC6EA7F4E3BF43F320F4F6507EA4640,2796,Europe,Gallia Aquitania,Augustoritum,House of Opus Sectile,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E6100000291E7AFFDD3AF43F5B87170208EA4640,2801,Europe,Gallia Aquitania,Augustoritum,House of Large Vestibule,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E61000002FBCD4008C14F43FEF1E5EDF20EA4640,2800,Europe,Gallia Aquitania,Augustoritum,House in Rue de Clairettes,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Verified,
0101000020E6100000AD161A80F43AF43F6C49A2F20AEA4640,2797,Europe,Gallia Aquitania,Augustoritum,"House 35, Insula VII-5",,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E610000094245B9F6A3BF43F52CEFEDD0EEA4640,2799,Europe,Gallia Aquitania,Augustoritum,House with Small viridarium,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E610000008E87C800719F43FCE3658B410EA4640,2798,Europe,Gallia Aquitania,Augustoritum,House with Aquatic décor,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E61000008C7E1BFF913BF43FB645807011EA4640,2795,Europe,Gallia Aquitania,Augustoritum,House of Five Mosaics,,precise,640,-30,"roman,late-antique",Augustoritum,,,,Approximate,
0101000020E61000002E6B07C83CC715401A012E2B41C44540,1907,Europe,Gallia Narbonensis,Aquae Sextiae,"Jardins de Grassi, House with large peristyle",,unlocated,640,-30,"roman,late-antique",Aquae Sextiae,,,,Verified,
0101000020E6100000C2BAF95F11C41540DBB4844225C44540,1910,Europe,Gallia Narbonensis,Aquae Sextiae,"Enclos Milhaud, house with large peristyle",,unlocated,640,-30,"roman,late-antique",Aquae Sextiae,,,,Verified,
0101000020E610000037781508F1C315401D95D5532FC44540,1908,Europe,Gallia Narbonensis,Aquae Sextiae,"Enclos Reynaud, house with pool",,unlocated,640,-30,"roman,late-antique",Aquae Sextiae,,,,Approximate,
0101000020E61000008864E9BFDEC315405E162C3830C44540,1909,Europe,Gallia Narbonensis,Aquae Sextiae,"Enclos Reynaud, house with semicircular bay",,unlocated,640,-30,"roman,late-antique",Aquae Sextiae,,,,Approximate,
0101000020E61000008C57305CE3C81540BADFDBD359C44540,1911,Europe,Gallia Narbonensis,Aquae Sextiae,House under Pasteur,,unlocated,640,-30,"roman,late-antique",Aquae Sextiae,,,,Verified,
,2908,Europe,Germania Superior,Aventicum,"Palatial House, Insula 7",,,,,,,,,,,
,2909,Europe,Germania Superior,Aventicum,"House, Insula 13",,,,,,,,,,,
,3006,Europe,Germania Superior,Bad Kreuznach,Rural Villa,,,,,,,,,,,
0101000020E61000005D6DC5FEB29B29408F53742497F74440,3904,Italy,Villas near Tivoli,Brutus' Villa,,Region IV,,,,,,locality,,,,
0101000020E6100000E8A221E35136434021E9D32AFA7C4240,3296,Asia,Syria,Batnae,Imperial Residence,,precise,640,-30,"roman,late-antique",Batnae,,,,,
,3382,Europe,Hispania Baetica,Benalmadena-Costa,villa?,,,,,,,,,,,
0101000020E6100000211FF46C56BD2740CE1951DA1BB44640,17017,Italy,Patavium,Tomb garden of A. Coelius C.,,Region X,,,,,,locality,,,,
,3864,Europe,Gallia Narbonensis,Briord,Tomb garden,,,,,,,,,,,
0101000020E6100000E1575128B0A9244078F01307D06D4240,4338,Africa,Africa Proconsularis,Carthage,House of the Aviary,,precise,,,,,verified,,,,
,4034,Asia,Iudaea,Caesarea Maritima,Praetorium,,,,,,,,,,,
,4035,Asia,Iudaea,Caesarea Maritima,Herod's Promontory Palace,,,,,,,,,,,
